1498k  223.10.61.150:8083
1059k  223.10.115.195:8082
1058k  223.10.39.207:8082
1057k  223.10.61.150:8082
1041k  223.10.39.207:8083
1022k  223.10.115.195:8083
900k  110.177.111.128:8082
727k  110.177.111.128:8083
704k  1.70.32.90:8083
604k  110.178.52.91:8085
573k  110.178.52.91:8083
573k  1.70.32.90:8085
534k  110.178.52.91:8082
388k  110.178.52.91:8084
363k  1.70.32.90:8082
333k  1.70.32.90:8084
243k  110.178.52.75:8083
238k  110.178.52.75:8085
213k  110.178.52.75:8082
205k  110.178.52.75:8084
179k  223.10.59.174:8083
149k  223.10.59.174:8082
